NO_OF_FRAMES	6345
NO_OF_CAMERAS	9
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-05, 22:12:12.664	27737.25340530
DATA_INCLUDED	6D
BODY_NAMES	drone	hunter
BODY_FILTERS	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	
ROTATION_ORIGIN	Global	Global	
Frame	Time	drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		hunter X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
40	0.39000	1020.78440	-14.41586	303.35762	0.37336	0.01603	-0.39220	0.42795	0.99998	-0.00684	-0.00032	0.00685	0.99996	0.00651	0.00028	-0.00652	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
41	0.40000	1020.78030	-14.39731	303.38353	0.36263	0.01275	-0.39264	0.41072	0.99998	-0.00685	-0.00027	0.00685	0.99996	0.00633	0.00022	-0.00633	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
42	0.41000	1020.76886	-14.41829	303.40156	0.36178	0.00836	-0.38522	0.39318	0.99998	-0.00672	-0.00019	0.00672	0.99996	0.00631	0.00015	-0.00631	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
43	0.42000	1020.76641	-14.48416	303.41493	0.37476	0.00738	-0.37986	0.41961	0.99998	-0.00663	-0.00017	0.00663	0.99996	0.00654	0.00013	-0.00654	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
44	0.43000	1020.77790	-14.53783	303.44578	0.36910	0.00214	-0.36937	0.40605	0.99998	-0.00645	-0.00008	0.00645	0.99996	0.00644	0.00004	-0.00644	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
45	0.44000	1020.79959	-14.63891	303.46962	0.39430	0.00200	-0.35930	0.41199	0.99998	-0.00627	-0.00008	0.00627	0.99996	0.00688	0.00003	-0.00688	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
46	0.45000	1020.87005	-14.69394	303.50280	0.39687	0.00032	-0.35473	0.40176	0.99998	-0.00619	-0.00005	0.00619	0.99996	0.00693	0.00001	-0.00693	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
47	0.46000	1020.92967	-14.78233	303.56972	0.42570	0.02620	-0.35358	0.41168	0.99998	-0.00617	-0.00050	0.00617	0.99995	0.00743	0.00046	-0.00743	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
48	0.47000	1021.03761	-14.89125	303.58176	0.44689	0.03730	-0.33120	0.41926	0.99998	-0.00578	-0.00070	0.00578	0.99995	0.00780	0.00065	-0.00780	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
49	0.48000	1021.15986	-15.03043	303.64952	0.46703	0.05691	-0.32072	0.41403	0.99998	-0.00559	-0.00104	0.00560	0.99995	0.00815	0.00099	-0.00815	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
